label,text,text_length,sentiment
0,安い し サイズ の ズレ も ない 。 滑る こと も ない です 。 ただ ロゴ が で かい 。 ちょっと 安っぽく 見える 。 実際 安い んです が 。,82,ネガティブ
0,同 機種 の 他 の カートリッジ も 同じです が 、 価格 の 割に 持ち が 良く あり ませ ん 。 メーカー 5 年 保障 の からくり が わかり ました 。 色 の 表現 等 、 性能 が 良い だけ に 残念です 。,117,ネガティブ
0,PC の フロント ジャック の マイク 接続 だ と 、 音声 が 小さ すぎて 、 オーディオ マネージャ の マイク ブースト を 最大 限 まで 上げる と ノイズ が すごい こと に なって た ので 、 マイク ブースト して も ノイズ が 乗ら ない こと を 期待 して 、 これ を 購入 し ました 。  値段 の 割に 素晴らしい と の こと で 購入 した のです が 、  コントロール パネル の マイク 設定 や ら も いじった んです が 、 どう あがいて も マイク の 音声 が 出力 さ れ ませ ん でした 。 。  ちなみに マイク は ソニー の エレクトレットコンデンサーマイクロホン  ECM-DS30P を 使用 し ました が 、 うん ともす ん と も いい ませ ん 。  あと ヘッドホン 端子 の ほう が 、 うち の PC で は フロント ジャック から 聞く より も 、 劣化 して 聞こえ ました 。 。 うち の PC と は 相性 が よく なかった の かも しれ ませ ん 。  元々 ノイズ は 乗って なかった ので 、 ヘッドホン は 必要 なかった のです が 、 ちょっと 気 に なり ました 。,551,ネガティブ
1,TDK の ＋ RDL を 使って い ました が 、 約 7.89GB の ファイル を 焼いたら 最後の 方 が エラー 出 まくり で 使い物 に なら ず 。  3 枚 無駄に し ました 。  こっち に したら あっさり 最後 まで 焼けて 、 10 枚 ほど 使い ました が エラー も なし 。  少々 値段 は 張り ます が 、 その分 の 信頼 性 です ね 。  今後 は これ を 使って 行こう と 思い ます 。,223,ポジティブ
0,5 ヶ 月 程度 の 使用 で 壊れて しまい ました 。  書き 込み 禁止 状態 で フォーマット も 出来 ませ ん 。  PC や カードリーダー 、 フォーマット ソフト （ SDFormatter 等 ） を 色々 変えて 試し ました が 無駄でした 。  ローレベルフォーマット も 効果 無し 。  コマンド プロンプト も 受け付け ませ ん 。  完全に 壊れて い ます ね 。  個人 情報 が 満載 な ので Transcend に 送って 交換 して もらう 事 も 出来 ない し ・ ・ ・  残念です 。,271,ネガティブ
1,以前 、 再生 インク で 痛い 目 に あった ので 、 今回 は 純正 品 を 注文 問題 なし,51,ポジティブ
1,品質 が 安定 して い ます ので コピー が 順調で 期待 通り 役 に 立って い ます 。,50,ポジティブ
0,簡単に 色 が 変色 して 来 ました 。 困り ます 。 駄目です ね 。 値段 から して 仕方ない か な 。,59,ネガティブ
1,沢山 、 プリント し ない と いけなかった ので この 枚数 で この 価格 なら 満足です 。,51,ポジティブ
0,ＨＵＬＵ を 快適に 見 たい ため に 購入 。 ＸＢＯＸ 360 で 見て いた のだ が 、 内部 ストレージ が 倍 な ので 遅延 は 無し 。 快適 そのもの 。 星 ２ 個 に した の は 、 いきなり 価格 を 下げた アマゾン の やり 方 が 気に入ら ない 。,143,ネガティブ
0,スマホ で 仕事 メモ と して 撮影 した ファイル が パー に 。 PC で マウント も でき なければ 修復 も 不可能 。 ひど すぎ ます 。,79,ネガティブ
1,商品 説明 通り の もの で 、 満足 して い ます 。 ポリカーボネート の ケース は 、 iPad  air2 本体 に ピッタリ 装着 できて 、 画面 カバー も シッカリ して おり 長く 使え そうです 。,113,ポジティブ
0,以前 買った TDK の ブルー デスク の ３分の１ に も 録画 時間 が あり ませ ん でした 。 大 失敗 です 。 もう この メーカー は ２ 度 と 購入 し ませ ん 。,95,ネガティブ
0,こんな 使え ない の 初めて … 。 何 枚 焼いて も 音 飛び すぎ で 聴いて られ ない 。 時間 の ムダな ので もう 処分 し ます 。,77,ネガティブ
1,故障 して 駄目に なって いた HDD から データ 吸い 上げ  無事に 出来 ました 。  今 まで HDD 故障 で 取り外して いた モノ が 数 台 あった ので  試しに つないで みる と 使える ・ ・ ・ ・ 。  ディスク チェック して みる と 不良 セクター は ある もの の  フォーマット したら 完全に 再生 出来 ました 。  IDE も SATA も 両方 使えて 重宝 し ます 。  今 まで HDD ケース で やって いた 事 が 簡単な 配線 だけ で  手軽に 出来る の は とても 助かり ます 。,278,ポジティブ
1,普通に 使って いれば 全く 問題 あり ませ ん 。  逆に 大切に 使って い ます 。,47,ポジティブ
1,とにかく 数多く プリント する ので 助かり ます 。 時間 の 経過 に よる 劣化 も あまり 見受け られ ない ので 品質 は よい と 思い ます 。,82,ポジティブ
0,フィルム を 張る の は きれいに 張れる けど ３ 日 目 に 早速 ヒビ が 入った 。 強化 ガラス フィルム ？ 本当 か な 。 信用 して たら すぐ 割れる 。,89,ネガティブ
0,大 容量 、 と いう 割に は インク の 消耗 が 早い 気 が し ます 。  プリンター を 安く 売り 、 高額の 消耗 品 で 儲ける 。  企業 に とって 利益 は 必要です が 、 カートリッジ 高 過ぎ です ！,117,ネガティブ
1,小さく なって 高く なった ような 気 が し ます が プリント ヘッド 一 体型 だ から 仕方がない か 。,59,ポジティブ
1,Chromebook 用 に 図書 館 など 有線 LAN のみ しか 使え ない 場所 を 想定 して 購入 し ました 。 セール 中 だった ので ￥ 750 くらい で 入手 できた ので ラッキーでした 。 パッケージ も 製品 状態 も 問題 なく 綺麗で 、 設定 も 必要 なく 快適に 使えて い ます 。 想定 外 に 使用 頻度 が 高い の が 自宅 で 、 Chromebook を 机上 に 固定 して いる 時 だけ Wi-Fi から 有線 接続 に 変えたら 、 下り の 平均 速度 が 約 15Mbps から 約 75Mbps に 大幅 アップ 。 動画 視聴 や データ の ダウンロード など で かなり 重宝 して ます 。 当初 は 週 に 数 回 使えば 良い 方 だ と 思って いた のに 、 ほぼ 毎日 使用 して い ます 。 購入 後 3 ヶ 月 経過 し ました が 、 今 の ところ 不 具合 は あり ませ ん 。,440,ポジティブ
1,いろんな ハード ディスク が USB で 接続 できる ので 前 使って いた ハード ディスク の データ を 取り出す ため に 使って い ます 。,79,ポジティブ
0,せめて 半年 は もって ほしかった  こんなに 悪い なら 売って る ところ に も 責任 が ある んじゃ 無い か ？,64,ネガティブ
1,子供 たち に 、 プレゼント し ました ❗  とても 喜んで くれ ました ！  毎日 、 YouTube を 見て い ます ❗,68,ポジティブ
1,デジタル ビデオ を 買い 換えた とき の バックアップ 用 メディア と して 後 から 買い 足し ました 。 用途 は 色々だ と 思い ます が 、 コスト パフォーマンス 的に この 商品 が よ さ そうな ので 、 買い ました 。 特に 問題 は あり ませ ん 。,143,ポジティブ
1,ケブラー 繊維 の Lightning ケーブル は 赤い もの に 続いて 2 本 目 の リピーター です 。 持ち歩き 用 と 今回 は リビング で 家族 と 共用 です 。 小さい 子供 が めちゃくちゃな 扱い を する ので 純正 ケーブル だ と 折れ曲がって すぐ 断線 する のです が これ なら 大丈夫 の ようです 。,173,ポジティブ
1,youtube が テレビ の 大 画面 で 見 られて とても 楽しい です 。 まだ 買った ばかりな ので 、 これ から 色々 と 楽しみ たい と 思い ます 。,87,ポジティブ
1,老舗 メーカー の 製品 に して は リーズナブルな 価格 で 少し 不安 が あり ました が 、 仕上がり の 綺麗 さ に 大 満足 です 。,76,ポジティブ
0,商品 は どこ に あり ます か ？ ？ まさか 中国 から 発送 して くる んです か 。 連絡 は 一切 なし 、 いい加減に して ほしい ！,77,ネガティブ
0,"プリンター が 6,000 円 な のに 、 インク 2 色 で ほぼ 同 金額 と いう の は 元々 が 高い 。  今回 は 最 安値 で 購入 でき ました が 、 プリンター の 選択 を 誤り ました 。",109,ネガティブ
1,この 商品 は 良い 製品 だ と 思い ます  DVD プレーヤー が 書き 込み エラー が  出 だした ので 、 この 商品 を 使ったら  書き 込み エラー が 解消 し ました 。,98,ポジティブ
1,ハード ディスク の バックアップ で ノート ・ デスクトップ に 関係 なく  外 付け 出来る ので 超 便利です 。  ディスク の ファイル 損傷 を して も 、 これ を 使って ディスク チェック を し  ファイル を 復活 さ せたり も 出来 ました 。  値段 も 手頃です し 。,154,ポジティブ
0,パッケージ 包装 に 原産 国 日本 と 表示 が あり ます が 本当でしょう か ？  二 度 目 の 初期 化 を して 録画 した もの は ブロックノイズ 続出 。 再生 する と 、 途中 で フリーズ し ます 。 最初の 録画 でも エラー が 出る こと が あり ます 。 ダビング や ムーブ が 完了 して も 安心 は でき ませ ん 。 再生 でき ない もの が 多い です 。 録画 機 HDD の データ 消去 は 、 ちゃんと 録画 できて る か どう か 、 面倒です が ディスク 全部 を を 再生 、 確認 して から 行って ください 。 要は 、 以前 信頼 感 の あった 三菱 化学 と は 思え ない シロモノ です 。 大 容量 の データ を ディスク に ダビング する とき は 、 BD ２ 層 RE で なく 、 １ 層 BD-RE ２ 枚 に 分けた ほう が 安全 と いう こと でしょう か ？  とにかく 、 この 商品 は 恐くて 二度と 使う 気 に なれ ませ ん 。,477,ネガティブ
1,三菱 の シャリオ グランディス （ Ｎ ８４ ） ← 古い ・ ・ ・ の ＣＤ ナビ が  「 専用 ＣＤ を 入れて ください 」 の 認識 エラー でした 。  もう 度々 ロード さ れ なかった けど 、 なんとなく 直る ・ ・ ・ で  ごまかし ごまかし 使用 して い ました が 、  ついに 認識 エラー と なり ました 。  ディーラー に も 点検 ついでに 見て もらい ました が 、 なおら ず 。  シャリオ グランディス の 掲示板 で こちら の 商品 が 紹介 さ れて おり 、  レビュー も なかなか の 様子 。  ダメ 元 で 購入 して やって み ました 。  さすが に １ 度 で は 無理でした が 、 説明 に も あった  「 読み 込め なくて も 向き を 変え ず に １０ 回 ほど 試して くだ さい 」  がんばり ました 。  認識 して 、 プログラム も ロード さ れ 復旧 し ました 。  レビュー を 書いて くれた 皆さん に 感謝 です ！,470,ポジティブ
0,5 枚 中 1 枚 が 盤面 に 瑕疵 あり 、 その他 数 枚 が 書き こみ エラー で 交換 対応 。  交換 後 の ディスク も 正常に 焼けた の は 1 枚 のみ で 2 枚 は 失敗 。  ほか 1 枚 に 至って は 交換 ディスク だ と いう の に 本来 白色 の はずの レーベル 面 が 汚損 して いた 。  BD-R  DL で は TDK( イメーション ) が 悪名高い が 、 Verbatim も なかなか どうして 善戦 して いる 。  エラー の 枚数 で いえば TDK( イメーション ) は 5 枚 中 3 枚 が 正常に 焼けた の に 対し 、  Verbatim で は なんと 9 枚 中 2 枚 のみ が 正常な ディスク 。  交換 の 手間 等 を 考えれば 数十 円 数百 円 の 差額 を 払って 国産 メディア を 購 う 方 が 賢い と いえる でしょう 。  一層 の BD-R で は 台湾 製 中国 製 でも 特に 重大な エラー は 見受け られ ませ ん が 、 二 層 以上 の 商品 で は ハッキリ と あらわれて くる ようです 。  他の 方 の レビュー に も ある ように 2 層 目 突入 で コケる こと が 殆ど 。,563,ネガティブ
0,noobs 経由 で の インストール が うまく いか ず 、  その後 、 直接 この カード に ｒ aspbian を 入れて 起動 して い ました が 、  そのうち kernel  panic が 出て 動か なく なり ました 。  Amazon で Raspberry  Pi2  Model  B と 一緒に 購入 で 勧め られた からかった のです が 、  ちゃんと 調べれば よかった 。 。 。 。  Raspberry  Pi2  Model  B に 合う SD カード は 下記 で 検討 する 方 が 良い ようです 。  [ ・ ・ ・ ],291,ネガティブ
0,連続 使用 して いる と 、 ノイズ が 。 。 。  一 度 ミュート する と 、 再 スタート できて クリアに 戻り ます 。  Mac  mini  で 3 年 使用 して 、 usb 直結 ヘッドセット を 買い 直し ました 。,123,ネガティブ
1,値段 の 割に しっかり した 造り で 満足です 。 少し 重い けど 頑丈です し 、 ハンド ストラップ を 使う と そんなに 重 さ は 感じ ませ ん 。 機能 的で いい 商品 だ と 思い ます 。,108,ポジティブ
0,2015 年 8 月 に 購入 し 、 タブレット で 使用 して い ました 。 昨日 、 アクセス 不能に なり 、 使用 でき なく なり ました 。 使用 中 は 特に 不満な 点 は なく 、 残念です 。,109,ネガティブ
1,これ は 良い です ね 。 Amazon ビデオ だけ で なく Hulu や GYAO! も テレビ で 簡単に 観 れる ので 最高です ね 。 特に クーポン を 使えた ので 、 安価で 入手 出来て ラッキーでした 。,116,ポジティブ
1,まだ 使って ない けど 、 純正 品 だ から いい んじゃ ない  言い たい の は 、 領収 書 が 同封 さ れて ない こと だ 。 それ を 改善 して ほしい,88,ポジティブ
1,純正 の ケーブル を 半年 ほど で ダメに する 家人 達 が 私 の 無事な 純正 ケーブル を 次々 奪って いく ので 、 丈夫 そうな この ケーブル を 購入 し ました 。 使用 して から 一 月 経って い ない ので 丈夫 さ の 見極め は まだ 出来 ませ ん が 、 いま の ところ 痛み は 無く 色 が 落ち着いた 白 な ので 気にいって い ます 。 充電 時 の 電流 を 確認 した ところ 純正 と 変わら ない 電流 が 流れて い ました 。 今後 どの くらい ケーブル 寿命 が ある か を 見極める の が これ から の 楽しみです 。,298,ポジティブ
1,最高 ！ ！ ！  毎日 、 好きな とき に 映画 館 に 行って 昨日 の 続き を 見る こと の 出来る 快感 もう 最高です 。,70,ポジティブ
1,ＦＤＤ 上 の 古い 重要な データ が 復旧 する こと が できて 助かり ました  旧 に 前 の パソコン が 壊れて しまい 、 本体 は 買い 替え で 対応 でき ます が 、 データ は なかなか です 。,112,ポジティブ
1,愛用 して い ます 。 Amazon 最高です ！ どんどん コンテンツ を 増やして 欲しい 。,51,ポジティブ
1,"５ 年 ほど 前 から 同様の もの を 使って おり ました 。  ある 日 突然 接続 部 故障 で 、 本 品 に 買い 換え ました 。  当時 は ￥ 3,780 でした が 、 送料 込み で この 価格 は お 安い です 。  部品 も 多数 ついて ました 。",140,ポジティブ
0,Netflix を Chromecast で 見る と （ 今 は 改善 した ようです が ） 切れる ので 購入 し ました 。  しばらく 使わ ず TV に 挿し っぱなし に して て いて 、 Hulu を 見る 為 に 久々 立ち上げた ところ 「 システム の ストレージ と アプリケーション を 最適 化 して い ます 」 の ループ 。  発売 直ぐに 買った から 、 初期 ロット の トラブル ？  （ 2016.1.15 追記 ）  カスタマー サービス から メール が あり 、 連絡 する と 、 「 TV と の 相性 に より 解像度 の 切り替え 時 に 同 事象 と なる 可能 性 が ある ので 、 切り分けて 欲しい 。 」  違う TV （ 東芝 19RE1 ） で 試した ところ 、 問題 無く 起動 し ました 。 TV （ 東芝 42Z8 ） と の 相性 だった のです ね 。  ちなみに Chromecast は 両方 問題 なし です 。  と は 言え 、 カスタマー サービス の フォロー は 有難かった です 。,496,ネガティブ
0,こんな もん ★ 1 個 でも 多 すぎる 。  仕事 で 使う 方 、 インク 商法 に 加担 する ぐらい なら トナー 商法 に 乗っかり ましょう 。  写真 は 近く の カメラ 屋 さん で 印刷 した 方 が ずっと 安い 。  もちろん 本体 に 利益 が ない のだ から インク で 利益 出す の は わかる 。  でも L インク 2 回 変えたら 本体 の 価格 を 上回る と いう の は いただけ ない 。  せめて L インク 一色 600 円 ぐらい に なったら いい のに と 思う 。  もし か して この インク の 高 さ は 、 むやみに 紙 を 消費 し ない よう 、 環境 に 配慮 して の こと な の か 、 または 町 の カメラ 屋 さん や 写真 屋 さん から の 圧力 でも かかって いる の か 。  もし そう なら 、 そう 言って くれれば 納得 も できる けど 、 あまりに も やり 方 が 汚い から もう インク ジェット は ほとんど 使わ ない こと に した 。,481,ネガティブ
0,仕事 で コピー を 多用 する ので 信頼 して いる ブラザー 製 の 複合 機 を 購入  あっと言う間 に トナー が 切れて しまう 。  本体 機能 の 節約 モード など を 全て 試して も 同じ 結果 。  本体 買い 換えた 方 が 年間 で 見たら 得 か な 。 。 。,148,ネガティブ
1,PSP 用 に 買って 1 ヶ 月 経ち ます が 今 の ところ 不 具合 なし です 。  バルク 品 を 買う こと に 少し 不安 も あった ので  純正 品 で 安心 の 買い物 でした 。,102,ポジティブ
0,頑丈 さ を 優先 さ せて いる 商品 です 。 生涯 保証 （ 企業 存続 が 前提 だ けど ） が 魅力 的です 。 実は 使い づらい 面 が 大きい です 。  ■ 長所 ■  頑丈 ／ 比較的 少ない ホルダー バンド タイプ ／ 頑丈な 割に 軽 め （ だ と 思い ます ） ／ 生涯 保証 ／ マグネット スリープ ／  ■ 欠点 ■  カバー が ディスプレイ 部分 ギリギリ まで ある ため 、 画面 内 の 端 は 触り づらく 横向き 時 に コントロール センター （ 画面 下 から スワイプ ） が 引き出せ ませ ん ／ 立てた 時 の 角度 （ 70 ° と 20 ° くらい ） が 個人 的に 微妙 ！ ／ メイン の ボタン や 側面 の ボタン が 押し にくい ！ （ どうしても カバー が 少し 被る ） ／ ディスプレイ の 端 一部 が カバー で 隠れる ／ 使って いる と スタンド 時 に 差し 込ま れる 爪 が 起き上がって きて 、 平 置き する と 浮き 上がって しまう ／ 縫製 や 素材 の 端 面 処理 が 若干 雑 ／ 画面 が 見やすい ように 黒 を 選んだ が 、 白 ステッチ が 視界 の 邪魔 （ 黒 油性 ペン で 塗り ました ） ／ 個人 的に は スタイラス ペン ホルダー は 邪魔,597,ネガティブ
1,プライム 会員 な ので 、 かなり 楽しんで い ます 。  nasne から 再生 が できれば 完璧な のです が ・ ・ ・,67,ポジティブ
0,sony の スマホ SO-05D に 使用 して ました 。 通常 の 使用 法 でした が 、 ある 日 認識 でき なく なり ました 。 ノート パソコン でも 認識 し ない ので 、 故障 した もの と 考え ます 。 比較的 有名な  メーカー で 永久 保障 も 掲げて る ので 、 商品 に は 自信 が ある のだ と 思って ました が 、 残念です 。 やはり 安心な の は 国産 メーカー でしょう か ？,220,ネガティブ
1,Amazon さん 凄い です 。  いま まで タブレット や ノート パソコン の 画面 で は 綺麗だ けど テレビ 画面 サイズ で は どう な んだろう ？  って 疑問 でした が 全く 問題 無し で 海外 ドラマ や 海外 ニュース を 見て 英語 学習 の 助け に も なり ます 。  Amazon オリジナル ドラマ も クオリティ が 高い です 。  凄い 時代 に なった もの です が 、 配送 、 物流 の 速 さ だけ で なく こういった サービス まで トータル に 利用 する と 便利 すぎて 依存 症 に なる ので は  と 怖い 気 まで して き ます ！,307,ポジティブ
0,エラー チェック して 問題 無い 事 を 確認 して 書き 込み を 開始 し ました が 、  ２０ ＧＢ ほど 書き 込んだ ところ で 、 書き 込み エラー が 出て 、 その 後書き  込み 禁止 に なって しまい データ も 消せ なく なって しまい ました …  重要な データ で は なかった ので 返品 し ました が 、 個人 情報 や Ｐ ／ Ｗ が  入った データ なら 不 良品 と は いえ データ は 読める ので 返品 し たく なく な  り ます …  １ 回 返品 して 新品 が 来た ので 同じ ように エラー チェック して 書き 込み を  始め ました が 同じ 状況 で １２ ＧＢ ほど 書き 込んだ 時点 で 書き 込み エラー  その後 書き 込み 禁止 状態 に なって しまい ました …  同じ 症状 で ２ 回 も 返品 です … もう この 製品 は 買い たく ない です …,428,ネガティブ
0,一 ヶ月 で 壊れ ました 。 なので 、 星 一 つ です 。 簡単な セットアップ で 使える ところ は 良し 。 前 に 観 終わった ところ から ボタン 一 つ で 再生 でき ない の は 辛い 。,107,ネガティブ
0,これ まで 、 国産 に こだわり （ と いう か 失敗 を 恐れ ） 、 パナ しか 使って き ませ ん でした 。  しかし 、 本 製品 の 評価 が 比較的 良い こと 、 それ と なにより 、 １０ 枚 パック で パナ より  約 ５００ 円 安い こと に 釣ら れ 、 こちら に 替え ました 。  以下 、 ２ パック 使用 後 の 評価 です 。  書き 込み は 全て ＰＣ 、 ドライブ は パイオニア ２０６ 、 ４ 倍速 書き 込み で 、 書き 込み 、  読み 取り 共 、 エラー は １ 枚 も あり ませ ん でした 。  エラー ディスク に 遭遇 する こと の ない 限り 、 本 製品 を 使い 続けよう と 思って い ます 。  追記 ：  同じ ブランド の 最近 購入 した １ 層 メディア が 全滅 。 念のため 、 最近 購入 した ２ 層  メディア を チェック した ところ 、 同じ ような 症状 が ・ ・ ・ 。  相性 問題 も ある の かも しれ ませ ん が 、 それでは 良品 と は 言え ませ ん 。 当たり 外れ も  ある ような ので 、 当分 この 製品 は 購入 し ませ ん 。  三菱 さん 、 頑張って ください 。,564,ネガティブ
1,ビデオ カメラ Victor  32GB フルハイビジョン メモリー ムービー ( ロイヤル ブルー )  GZ-HM670-A の 予備 メモリー と して 購入 し ました 。 この 値段 で クラス 10 です よ ！  メモリー は 機器 と の 相性 が あり ます ので 心配 し ました が 、 全く 問題 は あり ませ ん でした 。,177,ポジティブ
1,サービス が 始まった ばかりで コンテンツ は 少ない けど ね  課金 が 増え なければ โอเค,53,ポジティブ
0,PS3 と 接続 で 音量 が 足り ず  JOYSOUND  DIVE にて こちら の 商品 と F-V320 を 組み合わせて 使おう と し ました が  設定 を 最大に して も 音 が 小さくて 、 使用 は 厳しかった です 。  JOYSOUND  DIVE や カラオケ ソフト 目的 であれば  専用 の マイク を 買わ れた 方 が 良い かも しれ ませ ん 。  後 光る んで 、 暗く する と 眩しい かも しれ ませ ん 。 （ つけ っ ぱ だ と 寝る の に しんどい,257,ネガティブ
1,プライム 会員 の 方 は 絶対 に 買った 方 が いい です 。 ４ 日 に 届いて から 毎晩 寝不足で す ｗｗ,61,ポジティブ
1,息子 の スマホ 用 に 購入 し ました 。  とても 画面 が キレイで びっくり し ました 。  操作 も し やすい ようで 買って 良かった です 。  裏面 の 保護 シール も 付いて いて お 得 感 が あり ました 。 私 の 保護 シール が ダメに なったら こちら の 商品 を 使い たい と 思い ました 。 お 奨め です 。,181,ポジティブ
1,7 歳 の 子供 も すぐ 慣れる  コード は 煩わしい ので  USB から 電源 を 取れる と もっと いい,59,ポジティブ
1,L 版 は 何時も 手持ち が 有る のです が 、 2L サイズ の 印画紙 が 無くなった ので 、 購入 し ました 。  プリンター は キャノン で 、ﾌﾟﾘﾝﾄ して い ます 。  色 目 も 良く 、 光沢 の 仕上がり も 大変 気に入って 居 ます 。  さすが フジフィルム さん の 仕上がり に 満足 して い ます 。,174,ポジティブ
1,今 まで の ように レンタル ビデオ ショップ に 寄る こと も なく 、 簡単に 好きな 映画 や 音楽 が 見聞き できる の は 大変 便利 。 ＹｏｕＴｕｂｅ が 大きな 画面 で 見 れる の は 年配 者 に とって 嬉しい こと です 。,129,ポジティブ
1,レザー の 良い もの を 使って いた のです が カバー の 開閉 が 煩わしく こちら を 購入 。 ぴったり と iPad  mini に はまり 、 また その 手触り も 抜群です ！ 値段 の 割に は とても 良い もの で は ない でしょう か ？,135,ポジティブ
1,下 に なる 面 が しっかり と した 素材 に なって いる ので 、 鞄 の 中 の インナー と して も 安心 でき ます 。 Air の 11 に ぴったり サイズ だった ので 、 Yoga  11s を 入れて みよう と し ました が 入り ませ ん でした 。 寸法 は きっちり 合う ように 作ら れた ようで 、 他 に 使う の は 難しい です が 、 その分 Air に は 、 ばっちり でした 。 ちょっとした 小物 も 入る し 、 この 値段 なら 十分だ と 思い ます 。,260,ポジティブ
1,み たかった 海外 ドラマ が 無料 で み れて すごく いい です 。  周り の 知り合い に 薦め まくって ます ！,64,ポジティブ
0,Raspberry  2  model  B 用 に 4 枚 購入  boot 画面 にて エラー の ループ で 起動 でき ず  手持ち の 他 の SD カード で 試した 所 症状 は 改善 さ れ ました 。  ラズベリー パイ と の 相性 は 悪い みたいです ね 。  ラズベリー パイ で 使う 目的 の 方 は 他の カード を お 勧め し ます 。,187,ネガティブ
1,リサイクル インク の 発色 が 悪かった ので 純正 品 に 戻し ました 。 やはり 発色 が 良い です 。,58,ポジティブ
0,しばらく 使って いる と 、 全く 出力 も 入力 も でき なく なり ました 。  ただ PC に つながって いる だけ 。  期待 は ずれ どころ で は あり ませ ん 。  ちゃ っ ち な 見た目 通り です 。,116,ネガティブ
1,2 世代 前 の 立ち 上がら ない PC(Windows  Me) に 残って いた データ を 取り出す ため に 購入 し ました 。  特に 不 具合 も なく ポン付け で 現行 Win7 へ 接続 、 あっさり 読み 取れ ました 。  コスト は やや 掛かり ます が 、 大変 便利な 変換 アダプター か と 思い ます 。,173,ポジティブ
